cat_id,name,breed,age_years,weight_kg,color,gender,vaccinated,neutered,microchipped,owner_city,diet_type,health_status,last_vet_visit,metric_15,category_16,value_17,metric_18,category_19,value_20,metric_21,category_22,value_23,metric_24,category_25,value_26,metric_27,category_28,value_29,metric_30,category_31,value_32,metric_33,category_34,value_35,metric_36,category_37,value_38,metric_39,category_40,value_41,metric_42,category_43,value_44,metric_45,category_46,value_47,metric_48,category_49
2442,Nala,British Shorthair,19,6.57, WHITE,Male,Y,No,No,TOKYO,Dry,SICK,05/01/2024,56.97,A,23.0,70.39,b,,51.75,A,48.0,77.01,Unknown,84.0,45.31,A,14.0,26.55,a,17.0,49.17, ,94.0,73.51,B,45.0,80.47,D,31.0,27.68,D,58.0,error,D,66.0,93.71,D
2443,Loki,ABYSSINIAN,20,4.49,black ,F,No,,Yes,Tokyo,Wet,Checkup Needed,2024/01/05,9.67,b,32.0,47.06,A,97.0,40.33,b,78.0,27.02,Unknown,10.0,37.85,C,8.0,58.02,A,18.0,35.1, ,4.0,70.7,C,65.0,42.78,B,81.0,67.06,A,50.0,56.3,D,20.0,52.22,b
2444,Smokey,MAINE COON,15,5.07,Orange,M,N,Yes,Yes,Sydney,,SICK,2024-01-05,34.09,a,27.0,79.69,B,,38.31,a,,96.25,D,19.0,52.07,B,98.0,61.27,Unknown,6.0,64.4,A,11.0,64.97,D,58.0,29.31, ,45.0,45.27, ,49.0,53.12,D,1.0,46.1,a
2445,Loki,British Shorthair,21,4.26,Gray,F,yes,No,,London,,Healthy,2024-01-05,39.25,a,18.0,57.09,b,68.0,-5.39,A,99.0,55.62, ,66.0,40.15,D,,80.63,b,74.0,56.9, ,44.0,53.47,a,,85.36,B,53.0,43.95,Unknown,35.0,50.27,B,,35.08,D
2446,Luna,Unknown,23,5.25,,,Y,,No,Toronto,Dry,SICK,Jan 5 2024,40.28,b,19.0,29.01,D,97.0,47.13,B,58.0,85.6,A,73.0,33.6,b,71.0,38.87,B,4.0,68.31,a,13.0,49.03,B,22.0,26.28,a,47.0,65.16,B,73.0,37.7,Unknown,56.0,50.15, 
2447,Chloe,Persian ,12,4.83,Orange,Female,Yes,,No,Tokyo,Wet,Checkup Needed,05/01/2024,46.46,B,,21.62,a,34.0,unknown,D,81.0,65.38,Unknown,1.0,33.1,b,31.0,51.18,a,56.0,23.11,D,9.0,67.63,C,8.0,15.33,a,46.0,51.1,B,98.0,69.15,Unknown,59.0,54.83, 
2448,Smokey,Unknown,23,4.67,Black,male,Yes,,Unknown,London,Mixed,healthy,,47.09,C,86.0,51.81,b,93.0,43.68,A,87.0,61.06,a,98.0,57.09,A,40.0,unknown,A,,50.88,a,14.0,34.95,b,56.0,33.58,Unknown,42.0,54.84,B,9.0,49.69,A,29.0,36.66,D
2449,Tiger,SIAMESE,20,4.18,White,Male,no,Yes,Unknown,New York,,Healthy,2024/01/05,52.76,C,11.0,57.62,b,9.0,79.68,b,60.0,6.56,D,87.0,31.62,D,19.0,38.1,C,,53.65,D,98.0,29.66, ,75.0,57.51,D,26.0,70.71,b,48.0,69.57,B,1.0,50.34,Unknown
2450,Lucy,Bengal ,13,4.92, WHITE,Female,No,,,Toronto,Wet,Sick,Jan 5 2024,33.43,a,11.0,33.74,A,73.0,50.69,C,32.0,66.34,b,,76.59,a,1.0,97.21,a,71.0,62.62, ,20.0,42.55,B,,54.56,C,,56.73,a,66.0,51.65,C,38.0,13.32,Unknown
2451,Oliver,Unknown,16,3.03,Black,Unknown,yes,No,No,Toronto,,SICK,05/01/2024,32.33,C,40.0,72.65,a,34.0,error,B,0.0,42.4,B,,78.87,A,16.0,63.46,B,22.0,65.5, ,34.0,59.35,a,12.0,33.75,C,,29.77,D,84.0,81.54,C,,36.63,Unknown
2452,Bella,Siamese,16,4.15,Mixed,female,No,Yes,Unknown,Tokyo,Wet,,2024-01-05,N/A,b,53.0,74.43,A,16.0,64.71,C,55.0,53.09, ,15.0,40.95, ,78.0,81.76,B,34.0,31.23,A,24.0,61.08,C,77.0,79.78,Unknown,,58.01,Unknown,34.0,54.9,B,47.0,66.23,D
2453,Simba, Abyssinian,9,5.72,White,Male,No,No,Yes, london,Mixed,Checkup Needed,,14.53,C,53.0,41.4,Unknown,4.0,52.92, ,14.0,22.84,D,43.0,37.65,Unknown,41.0,38.82,C,6.0,13.02,B,19.0,29.2,C,16.0,13.05,C,,56.48,B,,37.13,b,77.0,35.25,B
2454,Simba,ABYSSINIAN,20,5.59,Gray,M,No,NO,No,Toronto,Mixed,SICK,Jan 5 2024,53.38, ,86.0,54.97,a,13.0,38.99,a,80.0,54.14,A,53.0,59.28, ,46.0,52.13,D,40.0,37.74,B,13.0,60.01,B,56.0,47.41,A,8.0,2.37,C,50.0,71.21, ,98.0,49.85, 
2455,Oreo,maine coon,22,4.27,Brown,female,Y,YES,No,Sydney,dry,Checkup Needed,2024/01/05,48.77,b,70.0,error,C,54.0,41.81,C,2.0,67.69,a,15.0,47.57,a,40.0,25.48,C,55.0,71.45,B,1.0,67.2,C,20.0,37.03,C,35.0,43.7,b,56.0,60.89,C,78.0,61.83,C
2456,Milo,SIAMESE,3,6.01,Brown,M,N,NO,No,Sydney,Dry,Sick,05/01/2024,52.62,Unknown,38.0,48.92,A,22.0,74.14, ,18.0,34.43,a,72.0,45.97,a,96.0,23.6,C,,47.86,D,44.0,34.16, ,16.0,29.22,a,14.0,45.35,a,74.0,51.75,b,17.0,78.46,C
2457,Leo,sphynx,9,6.06,Orange,Female,No,YES,No, london,Mixed,SICK,Jan 5 2024,58.23,B,60.0,41.47,A,40.0,42.61,A,45.0,60.97,a,87.0,42.22,a,38.0,56.6,D,78.0,61.9,D,47.0,79.54,C,48.0,44.72,C,46.0,54.58,B,62.0,53.59,Unknown,64.0,32.24,b
2458,Oliver,SCOTTISH FOLD,4,5.09,Orange,Unknown,,NO,No,London,dry,Sick,,86.18,C,10.0,20.66,A,76.0,42.78, ,1.0,61.76,B,28.0,35.16,A,4.0,61.78,C,4.0,51.49,B,47.0,error,C,91.0,21.6,B,91.0,63.52,b,31.0,71.95,A,9.0,41.93,B
2459,Luna,,7,4.14,Black,Unknown,no,Yes,Yes,Paris,Dry,SICK,,38.35,D,36.0,44.01,D,61.0,61.32,A,2.0,46.96,a,18.0,28.77, ,79.0,58.61,D,94.0,39.34,A,76.0,59.19,b,82.0,69.59,a,16.0,29.92,b,,30.69, ,12.0,41.68,a
2460,Leo,Abyssinian ,9,6.45,,M,,YES,No,Toronto,dry,Healthy,,66.68, ,,67.15,D,97.0,-6.71,Unknown,92.0,56.43, ,87.0,52.14,C,68.0,6.08,A,27.0,39.43,B,10.0,50.77,A,3.0,23.19,a,75.0,52.18,A,5.0,41.03, ,90.0,47.54, 
2461,Oliver,Bengal,13,4.06, WHITE,Female,No,Yes,, london,Mixed,healthy,05/01/2024,31.07,D,11.0,56.27,b,5.0,48.07,a,40.0,35.22, ,86.0,46.17,D,11.0,47.52, ,,63.46, ,31.0,47.66,D,28.0,78.75,b,49.0,60.13,D,72.0,55.08,D,48.0,51.56,B
2462,Oliver,,10,3.21,White,Male,,YES,Unknown,TOKYO,Wet,,2024/01/05,8.55,A,77.0,85.6,B,63.0,40.37,a,34.0,21.79,Unknown,2.0,32.38,C,,56.79,a,,81.27,C,4.0,58.39,Unknown,77.0,90.34,C,,8.7,C,25.0,30.27,Unknown,94.0,57.03,D
2463,Tiger,BENGAL,10,6.22,Orange,female,N,No,Unknown,New York,,SICK,05/01/2024,29.08,B,43.0,24.73,Unknown,67.0,65.24,b,13.0,49.0,A,,72.64, ,93.0,41.89,a,47.0,101.93,A,81.0,45.55,Unknown,21.0,72.81,C,99.0,42.13,D,37.0,37.92,C,6.0,37.52, 
2464,Chloe,BRITISH SHORTHAIR,11,3.97, WHITE,M,N,Yes,Unknown,TOKYO,wet,Sick,Jan 5 2024,84.59,B,78.0,25.84, ,,49.57,Unknown,13.0,71.85,A,78.0,87.69,Unknown,65.0,97.76,C,45.0,25.73, ,45.0,36.44,A,61.0,64.47,b,19.0,74.9,B,12.0,30.66,a,84.0,68.88,a
2465,Oliver,Ragdoll,3,5.77,,Male,Yes,NO,Unknown,London,Wet,,05/01/2024,3.48,B,29.0,54.51,C,75.0,27.73,B,25.0,unknown,B,79.0,36.74,b,38.0,67.02,D,,40.62,D,24.0,61.46,A,23.0,60.9,D,39.0,103.23,D,29.0,73.51,Unknown,41.0,74.97,b
2466,Smokey, Maine Coon,16,4.53,Mixed,Female,no,No,Unknown,Sydney,Mixed,SICK,,72.82,D,8.0,46.65,D,50.0,74.25,A,75.0,58.42,C,30.0,19.86,D,5.0,49.29,B,17.0,70.89,b,,72.43,a,64.0,35.98,b,74.0,22.59,a,32.0,55.91,b,45.0,71.6, 
2467,Leo,Ragdoll ,7,3.44,Brown,M,N,NO,,Sydney,wet,Checkup Needed,2024-01-05,66.06, ,,59.24,A,92.0,33.22,a,31.0,71.37,Unknown,15.0,47.38,A,53.0,31.86,b,91.0,68.91,b,57.0,78.42,Unknown,53.0,44.97,Unknown,87.0,41.14,b,38.0,10.47,D,14.0,46.45,B
2468,Bella,Maine Coon,6,4.32,Mixed,male,yes,No,,London,Wet,Healthy,05/01/2024,69.33,Unknown,48.0,41.59,Unknown,61.0,73.63, ,79.0,60.51, ,15.0,56.26,b,29.0,53.87,a,14.0,26.71,Unknown,30.0,61.86,B,33.0,53.94,A,75.0,44.27,C,60.0,62.93,Unknown,46.0,54.78,B
2469,Chloe, Scottish Fold,19,1.04,Mixed,female,,YES,No,Berlin,Wet,,2024/01/05,64.79,Unknown,53.0,47.23,A,18.0,64.6,b,30.0,99.43,A,20.0,32.62,C,74.0,48.8,a,,83.16, ,50.0,40.47,C,84.0,34.64,Unknown,73.0,49.41,D,12.0,32.44,C,81.0,46.96,Unknown
2470,Milo,SCOTTISH FOLD,6,2.87,Gray,female,No,YES,Unknown,London,Mixed,Healthy,2024/01/05,75.2,a,76.0,25.81,C,42.0,21.06,A,68.0,26.67,a,51.0,36.83,a,50.0,60.44, ,39.0,26.95,A,5.0,50.99,C,77.0,61.72,b,19.0,40.34,b,82.0,23.72,B,43.0,43.12, 
2471,Simba, Sphynx,6,7.62,black ,female,,Yes,,Tokyo,wet,SICK,05/01/2024,44.52,C,83.0,73.97,b,44.0,74.55,B,47.0,27.98,C,54.0,44.52,C,25.0,47.02,D,65.0,51.67,a,49.0,68.75,b,86.0,43.04,A,71.0,27.7,b,48.0,20.05,B,54.0,65.81,Unknown
2472,Chloe,MAINE COON,-2,5.6,Black,M,No,,Yes,Paris,Wet,Checkup Needed,2024/01/05,62.18,B,57.0,45.55,Unknown,7.0,82.28,Unknown,,62.95,a,15.0,35.96,a,59.0,19.7,a,22.0,44.99,C,29.0,51.97,A,83.0,54.07,B,69.0,47.78,D,18.0,70.26,B,42.0,42.54, 
2473,Oreo, Persian,-2,4.73, WHITE,Female,,NO,No,Sydney,wet,Healthy,Jan 5 2024,64.57,A,96.0,43.82,B,54.0,86.7,a,77.0,38.64,A,11.0,48.82,C,25.0,49.44,B,11.0,33.73,C,83.0,38.62, ,67.0,8.25,b,88.0,47.19,Unknown,25.0,98.98, ,96.0,N/A,A
2474,Bella, Siamese,10,3.63,Orange,Female,N,NO,Yes,London,,Checkup Needed,,24.84,A,,39.06,b,43.0,56.7,C,59.0,42.44,C,34.0,60.01,C,11.0,74.46, ,59.0,39.46,C,68.0,55.66,A,55.0,69.79,a,,33.53,Unknown,31.0,80.71, ,16.0,61.58,B
2475,Smokey,Maine Coon,18,4.21,Brown,female,No,Yes,No,Berlin,Mixed,healthy,2024-01-05,51.96,D,9.0,32.18,Unknown,5.0,53.38,B,22.0,36.77,B,45.0,58.87,A,,37.37,A,88.0,26.06,A,40.0,28.32, ,12.0,38.4, ,53.0,77.64,a,61.0,44.27,C,7.0,19.09,B
2476,Lucy,,18,2.91,Orange,,N,NO,No,New York,wet,healthy,2024-01-05,26.85, ,92.0,57.79,B,18.0,54.73,a,43.0,38.22,Unknown,,44.93,B,,45.83,C,35.0,51.3,a,37.0,23.02,A,95.0,62.36,D,82.0,30.81,D,83.0,37.99,D,72.0,75.61, 
2477,Leo,british shorthair,23,3.95,Mixed,Female,,NO,,Tokyo,Mixed,,05/01/2024,50.12,Unknown,58.0,69.89,D,26.0,42.88,Unknown,,57.98,A,36.0,33.74,D,96.0,39.67,a,13.0,45.35,D,,87.28,Unknown,98.0,10.91,Unknown,89.0,71.12, ,40.0,27.57,b,21.0,58.9,D
2478,Oreo,Unknown,19,2.44,Mixed,Male,No,YES,Yes,Tokyo,wet,SICK,05/01/2024,31.12,Unknown,49.0,37.58, ,94.0,38.16,a,69.0,48.86,Unknown,28.0,50.82,a,9.0,103.22,B,,59.1,B,15.0,50.9,A,81.0,37.83,Unknown,14.0,26.44, ,27.0,12.9,Unknown,63.0,51.19,D
2479,Chloe, Siamese,16,4.3, WHITE,,Yes,NO,Unknown,London,Mixed,,05/01/2024,60.64,A,80.0,50.3, ,92.0,80.03,Unknown,77.0,53.7,a,79.0,68.24,B,54.0,67.68,a,20.0,37.53,D,2.0,33.19,Unknown,50.0,34.45,b,10.0,0.52,Unknown,79.0,52.56,b,35.0,49.98,A
2480,Chloe,Sphynx ,13,4.09,Orange,male,Y,,Unknown,Berlin,,healthy,,35.45,Unknown,,67.42,A,57.0,41.16,A,,55.85,b,59.0,52.73,A,4.0,36.34,C,36.0,76.41,B,90.0,66.8,b,42.0,24.8,C,83.0,45.42,Unknown,,78.51,C,36.0,16.39,B
2481,Shadow,Persian ,21,4.43,Black,F,No,Yes,Unknown,Toronto,Dry,healthy,Jan 5 2024,39.94,D,43.0,65.65,b,,21.58,b,76.0,47.24,D,51.0,54.25,b,4.0,34.52,Unknown,3.0,28.42,D,56.0,48.69,a,75.0,86.34,Unknown,68.0,61.44, ,70.0,18.18,D,38.0,74.44,B
2482,Lucy, Persian,20,3.28,Black,Unknown,Y,,Yes,Tokyo,wet,Healthy,,44.44,B,14.0,78.94,D,44.0,40.08,A,83.0,35.69, ,80.0,55.74,b,63.0,3.39,B,39.0,58.89,D,52.0,29.76,B,,48.02, ,60.0,19.92,a,67.0,70.77, ,58.0,71.37,b
2483,Leo,British Shorthair ,10,6.83,Gray,Unknown,,Yes,No,Tokyo,Dry,Healthy,05/01/2024,83.32,C,10.0,48.25,C,17.0,64.54,Unknown,10.0,31.55,C,64.0,58.65,A,69.0,70.16,C,79.0,65.6,A,,11.27,D,17.0,46.38,Unknown,93.0,45.3,D,,10.34,A,9.0,44.42,C
2484,Lucy,ragdoll,15,5.19,White,F,Y,,Unknown, london,,Sick,05/01/2024,45.88,D,49.0,42.12,B,47.0,45.64,a,,46.68,A,22.0,66.54,b,,68.57,D,80.0,68.78, ,77.0,29.43,D,80.0,unknown,Unknown,70.0,66.06,B,68.0,28.37,B,,20.61,a
2485,Luna,bengal,21,4.33,Black,,N,Yes,,Sydney,Mixed,healthy,,68.58,C,43.0,34.06,C,98.0,39.15,D,52.0,82.7,D,58.0,33.23,Unknown,,N/A,a,30.0,66.5,b,95.0,47.79,a,46.0,43.33,C,40.0,57.87,D,73.0,32.94,B,76.0,40.42,D
2486,Kitty,Siamese,7,5.67,,male,no,NO,Unknown,TOKYO,wet,Checkup Needed,2024/01/05,59.66,A,9.0,84.19,B,24.0,32.22,b,53.0,21.78,C,23.0,38.93, ,64.0,50.62,A,8.0,21.62,a,93.0,38.74,a,92.0,80.63,b,23.0,56.15,D,52.0,50.93,b,66.0,36.9,a
2487,Leo,Abyssinian ,11,3.65,,Male,no,NO,Unknown,London,Mixed,Healthy,Jan 5 2024,36.63,a,16.0,74.57,Unknown,39.0,51.05,A,4.0,12.65,D,21.0,21.03,A,3.0,94.19,a,4.0,42.79,a,,64.19,A,1.0,23.83,C,24.0,56.3,C,,70.69,A,37.0,51.17, 
2488,Kitty,MAINE COON,0,4.75,Black,female,no,,No,New York,Wet,healthy,2024/01/05,94.43,D,98.0,54.45, ,,72.39,A,29.0,57.97,C,56.0,61.17,B,14.0,32.12, ,42.0,78.57,Unknown,0.0,83.58,b,70.0,24.68,B,54.0,55.98,C,89.0,24.28,b,80.0,53.27,Unknown
2489,Oreo, Ragdoll,-2,6.14, WHITE,Unknown,No,,Unknown, london,Dry,healthy,,68.42,a,,43.88,Unknown,28.0,14.16,A,64.0,43.59, ,79.0,14.04, ,99.0,76.84, ,12.0,56.98,a,61.0,37.41,b,43.0,68.09,A,37.0,64.17,A,26.0,46.52,a,77.0,51.23,B
2490,Lucy,abyssinian,7,4.39,Mixed,female,Yes,NO,Unknown,TOKYO,Dry,SICK,2024/01/05,60.79,B,2.0,34.33,b,12.0,39.54,A,54.0,22.46, ,5.0,54.74,A,44.0,39.62,A,85.0,70.45, ,49.0,31.04,D,16.0,56.56,Unknown,,36.4,D,33.0,53.77,A,80.0,27.25,A
2491,Shadow,,4,1.89,White,Female,Y,YES,Yes,,Wet,SICK,05/01/2024,2.61,A,17.0,33.99,b,19.0,21.19,b,94.0,54.97, ,22.0,N/A,Unknown,95.0,32.88,D,74.0,24.57,B,81.0,73.25,a,19.0,56.09,a,79.0,65.76,A,17.0,55.73, ,14.0,78.92,B
2492,Bella,Maine Coon ,21,6.43, WHITE,M,Y,NO,,London,Wet,Healthy,Jan 5 2024,69.79, ,38.0,61.52,b,0.0,61.56,B,17.0,37.14,C,89.0,43.96,b,2.0,19.48,b,87.0,37.1,Unknown,64.0,N/A,Unknown,44.0,43.69,Unknown,31.0,-5.31, ,75.0,27.37,B,52.0,48.07,b
2493,Milo,MAINE COON,1,4.5,Mixed,Female,Y,,No,Paris,dry,Sick,05/01/2024,39.92,D,8.0,21.95,A,,unknown, ,96.0,69.94,Unknown,28.0,11.49,C,12.0,52.05,Unknown,50.0,52.8,B,93.0,77.96,a,,18.13,a,92.0,42.91, ,,63.27,D,57.0,64.07,B
2494,Tiger,,17,3.17,Orange,M,No,NO,No,Sydney,wet,Healthy,2024/01/05,61.66,Unknown,8.0,69.46,a,73.0,51.27,A,50.0,61.89,C,63.0,23.3,a,38.0,55.4,Unknown,75.0,33.1,D,64.0,58.15,D,45.0,59.87,b,63.0,59.71,B,1.0,60.23,D,0.0,33.3,a
2495,Smokey,PERSIAN,4,0.75,Gray,,Y,NO,Yes,TOKYO,dry,Healthy,2024-01-05,46.93,Unknown,26.0,43.94,A,76.0,-2.94,b,,65.08,D,91.0,44.67,Unknown,4.0,44.04, ,90.0,68.73,a,34.0,52.32,D,1.0,42.69,C,75.0,23.05,D,79.0,59.82, ,15.0,44.75,A
2496,Shadow,Maine Coon,-1,6.07, WHITE,Unknown,N,NO,Yes,Tokyo,Mixed,SICK,05/01/2024,52.46,B,75.0,63.26,B,21.0,33.47, ,69.0,60.11,b,7.0,70.4, ,64.0,57.74,C,12.0,46.79,a,63.0,46.47,A,71.0,38.53, ,85.0,62.81,a,18.0,42.8,D,,32.22,a
2497,Leo,ABYSSINIAN,-1,3.6,Mixed,female,N,Yes,,Paris,Mixed,Healthy,2024-01-05,74.91,b,0.0,77.95,A,53.0,30.05, ,44.0,85.15,A,19.0,59.43,A,51.0,1.38, ,43.0,45.73,b,34.0,41.9, ,1.0,55.76,Unknown,98.0,52.23, ,30.0,52.74,Unknown,24.0,27.57,Unknown
2498,Lucy,Bengal,3,5.17,White,Unknown,Yes,Yes,Unknown,London,Mixed,SICK,2024/01/05,51.85,Unknown,74.0,43.52,C,27.0,68.97,a,,N/A,D,35.0,22.6,D,90.0,13.03, ,94.0,38.6,Unknown,,32.48,B,35.0,40.74,B,43.0,60.07,Unknown,,57.42,C,68.0,36.16,a
2499,Leo,Abyssinian,-1,5.31,,female,yes,No,Yes,London,,healthy,Jan 5 2024,55.24,D,2.0,51.95, ,28.0,9.86,a,,54.39,B,29.0,58.94,D,69.0,29.95,A,8.0,29.42,Unknown,89.0,36.84,D,,29.78,C,60.0,90.89,C,97.0,82.97,A,22.0,81.35,b
2500,Shadow,Scottish Fold ,-1,3.27,Brown,Female,No,,,Sydney,Wet,healthy,2024-01-05,20.42,B,17.0,72.73,b,57.0,35.13,b,54.0,48.7,B,20.0,49.91,C,48.0,59.72,A,91.0,66.74,Unknown,64.0,60.62,D,7.0,36.44,a,77.0,50.4,Unknown,13.0,59.01,b,59.0,58.69, 
2501,Chloe,SCOTTISH FOLD,1,4.8,,Unknown,Y,No,,Sydney,Mixed,,2024-01-05,79.68,A,77.0,85.63,C,98.0,69.13,B,19.0,15.3,A,97.0,53.63,A,96.0,48.07,A,,28.06,D,33.0,62.39,A,84.0,32.03,b,8.0,30.63,b,49.0,error,Unknown,78.0,23.42,Unknown
2502,Simba,Ragdoll ,20,7.51,Brown,Male,yes,YES,,London,,Healthy,,71.2,b,97.0,64.15,b,61.0,37.45,Unknown,,61.62,Unknown,0.0,40.95,D,79.0,43.95,a,2.0,36.27,Unknown,77.0,50.49,a,75.0,55.01, ,22.0,66.44,a,85.0,39.39,Unknown,52.0,48.46,C
2503,Tiger,siamese,3,2.87,Black,Female,Y,YES,,London,Dry,Healthy,2024-01-05,67.09, ,7.0,68.61,B,50.0,87.91,b,66.0,44.78,Unknown,99.0,47.33,D,12.0,59.62,C,6.0,80.33,A,77.0,37.53,C,14.0,66.18,C,74.0,106.63,A,86.0,35.62,B,60.0,36.95, 
2504,Nala,Unknown,24,6.52,,F,Yes,No,No,TOKYO,Wet,healthy,05/01/2024,44.02,C,28.0,35.21,A,,47.64,Unknown,55.0,16.85,a,67.0,57.67,b,66.0,75.05,D,21.0,48.83,Unknown,95.0,30.11,b,4.0,102.8, ,11.0,64.13,B,,72.28,A,8.0,46.01,C
2505,Loki,BRITISH SHORTHAIR,16,1.77,Orange,F,Y,No,Yes,Toronto,,Healthy,2024/01/05,9.59,b,38.0,47.72,Unknown,88.0,71.08,Unknown,33.0,unknown,B,66.0,40.11,a,8.0,39.87,B,89.0,44.15,B,78.0,43.3,A,61.0,85.82, ,20.0,32.58, ,52.0,64.7,Unknown,,29.77,A
2506,Simba,Unknown,-1,1.17,Gray,M,,No,No,TOKYO,wet,,Jan 5 2024,36.91,a,52.0,46.86,C,59.0,31.47,a,53.0,77.81,C,68.0,21.91, ,3.0,19.67,D,32.0,76.61, ,6.0,56.8,a,27.0,33.39,D,77.0,40.35, ,69.0,52.8,A,7.0,22.72, 
2507,Chloe,ragdoll,1,3.97,Orange,male,No,YES,Yes,Toronto,Mixed,SICK,2024/01/05,8.05,C,90.0,65.32,Unknown,70.0,36.31,Unknown,,34.19,A,98.0,69.01,a,12.0,80.06, ,,12.09,Unknown,53.0,79.11,D,45.0,66.69,b,,42.25,b,16.0,55.5,Unknown,1.0,43.27,D
2508,Nala,RAGDOLL,11,4.37,,male,Yes,No,Unknown, london,,Healthy,05/01/2024,54.83,C,17.0,56.18,C,65.0,51.41,D,47.0,28.31,a,8.0,51.23,C,93.0,26.89,a,34.0,70.06,D,21.0,41.02,A,51.0,21.12,C,1.0,58.57,B,38.0,54.98,a,,28.14, 
2509,Shadow,,0,3.94,,Male,no,YES,,Tokyo,dry,Sick,,44.07,b,46.0,38.21,D,92.0,48.35,C,53.0,53.73,A,31.0,38.37,b,57.0,30.34,A,,83.36,a,9.0,12.8,D,61.0,57.02, ,95.0,45.42,Unknown,39.0,40.14,D,23.0,17.8,C
2510,Tiger,,13,4.04,Black,female,Yes,Yes,Yes,Tokyo,dry,,2024/01/05,24.96,C,48.0,56.2,B,22.0,62.46,D,68.0,67.83, ,84.0,77.13,a,70.0,44.72,b,51.0,29.18,b,,76.76, ,26.0,55.19, ,21.0,55.04,D,,-1.43,a,15.0,63.16, 
2511,Smokey,Maine Coon,9,4.83,Mixed,Female,yes,YES,Unknown,Paris,Wet,Sick,2024-01-05,59.44,a,20.0,36.44,Unknown,17.0,57.02, ,,43.91,A,,36.53,Unknown,47.0,32.49, ,40.0,81.43,C,92.0,69.88, ,62.0,18.27,B,74.0,47.99,Unknown,7.0,29.37,B,78.0,21.26,Unknown
2512,Loki, Siamese,-1,4.0,Brown,M,,Yes,,TOKYO,,Healthy,2024-01-05,33.45,a,24.0,25.7,a,39.0,49.15, ,69.0,32.57,B,22.0,46.37,b,69.0,80.8,B,7.0,62.58,D,72.0,62.04,Unknown,,21.52,Unknown,25.0,50.42, ,77.0,37.1, ,,70.88,B
2513,Milo,,7,6.76,Orange,Male,no,,No,,Mixed,SICK,,unknown,D,75.0,66.52,D,92.0,51.06,Unknown,76.0,52.29,D,52.0,72.7,B,25.0,54.62,Unknown,15.0,50.58, ,82.0,39.17,C,30.0,80.33,B,85.0,51.88,D,47.0,38.83,b,37.0,27.35,C
2514,Oreo,RAGDOLL,7,6.69,White,female,,Yes,No,,wet,Healthy,,41.02,C,,54.9,A,88.0,72.3,D,40.0,74.71,C,94.0,12.91,D,,71.47,Unknown,98.0,58.16,a,95.0,47.43,B,75.0,32.15,a,27.0,error,C,93.0,18.42,Unknown,43.0,22.4,b
2515,Bella,Scottish Fold,9,5.48,Black,male,Yes,No,Yes,Berlin,wet,SICK,05/01/2024,48.23,B,72.0,25.79, ,67.0,28.52,C,22.0,83.9,a,91.0,50.85,Unknown,42.0,62.31,a,90.0,13.57,b,73.0,21.53, ,42.0,48.31,Unknown,31.0,28.69, ,30.0,54.04, ,36.0,58.95,A
2516,Chloe,Unknown,23,2.09, WHITE,Unknown,,YES,Yes,Toronto,,Sick,2024-01-05,32.9,a,40.0,56.57,B,70.0,80.62,A,79.0,61.79, ,27.0,75.86,D,31.0,68.14,Unknown,59.0,54.96,B,55.0,69.74,D,44.0,35.77,B,12.0,80.21,A,27.0,39.2,D,21.0,66.19,A
2517,Oreo,Unknown,14,3.09,Black,Unknown,Y,Yes,, london,dry,Healthy,Jan 5 2024,69.8,B,31.0,70.61,b,38.0,58.29,a,15.0,26.48,C,98.0,34.61,a,25.0,54.55,a,82.0,37.58,C,9.0,38.09,D,8.0,44.41,Unknown,26.0,36.11,C,26.0,70.01,a,86.0,35.91,b
2518,Luna,,23,4.26,Black,F,Yes,YES,Yes,Paris,,Sick,05/01/2024,21.14,Unknown,62.0,47.81,a,94.0,74.74,D,80.0,63.74, ,69.0,33.45, ,14.0,50.53,Unknown,68.0,37.61,b,90.0,47.18,B,85.0,28.28,B,38.0,56.42, ,33.0,48.76,C,54.0,61.39,A
2519,Leo,Unknown,7,4.64,Gray,Female,no,NO,Unknown,New York,,SICK,,74.56,D,56.0,47.22,C,25.0,58.59,C,10.0,12.74,A,20.0,44.94,A,91.0,59.49,B,9.0,53.6,D,30.0,40.0,Unknown,8.0,43.62,D,8.0,62.31,B,85.0,61.94,Unknown,,72.86,a
2520,Kitty,RAGDOLL,-2,4.86,black ,,no,Yes,No,Sydney,,healthy,,13.49,C,20.0,55.95, ,36.0,36.28,a,77.0,25.49,C,12.0,49.38,A,17.0,50.58,B,66.0,66.03,A,62.0,79.05,a,6.0,78.83,a,39.0,64.97, ,0.0,50.62,C,95.0,46.88,A
2521,Tiger,british shorthair,19,3.95,Mixed,Female,Yes,No,,New York,wet,SICK,Jan 5 2024,19.65, ,,32.11,C,,23.76,D,14.0,71.05,A,63.0,34.96,A,,38.88,Unknown,98.0,65.84,Unknown,72.0,42.62,Unknown,,61.36,C,54.0,55.17,Unknown,26.0,75.29, ,55.0,70.09,A
2522,Leo, Persian,2,6.54,Black,Unknown,no,YES,Unknown,Tokyo,wet,Checkup Needed,Jan 5 2024,42.9,A,20.0,39.19,Unknown,99.0,43.71,C,89.0,77.57,Unknown,57.0,76.62,C,15.0,26.6, ,66.0,31.58,Unknown,72.0,45.27, ,70.0,42.44,C,,84.81, ,29.0,49.44,Unknown,38.0,57.25, 
